ResponseId,Dur,Age,Country,Gender,Socialmedia,Selfietaking,StimGender,Tilt,Distance,Eyes,Boring,Funny,Ironic,Serious,Ugly
R_1EcHZSIxAECyCbs,532,40,England,Male,"Facebook,Twitter,Instagram,Whatsapp",Less than once a week,Female,Tilted,Near,Side,3,2,2,4,4
R_1EcHZSIxAECyCbs,532,40,England,Male,"Facebook,Twitter,Instagram,Whatsapp",Less than once a week,Female,Level,Near,Side,4,2,2,2,2
R_1EcHZSIxAECyCbs,532,40,England,Male,"Facebook,Twitter,Instagram,Whatsapp",Less than once a week,Female,Level,Near,Direct,4,2,2,2,2
R_1EcHZSIxAECyCbs,532,40,England,Male,"Facebook,Twitter,Instagram,Whatsapp",Less than once a week,Female,Tilted,Far,Direct,4,2,2,2,2
R_1EcHZSIxAECyCbs,532,40,England,Male,"Facebook,Twitter,Instagram,Whatsapp",Less than once a week,Female,Tilted,Far,Side,4,2,2,4,3
R_1EcHZSIxAECyCbs,532,40,England,Male,"Facebook,Twitter,Instagram,Whatsapp",Less than once a week,Female,Level,Far,Direct,4,2,3,3,2
R_1EcHZSIxAECyCbs,532,40,England,Male,"Facebook,Twitter,Instagram,Whatsapp",Less than once a week,Female,Level,Far,Side,5,2,2,4,2
R_1EcHZSIxAECyCbs,532,40,England,Male,"Facebook,Twitter,Instagram,Whatsapp",Less than once a week,Male,Tilted,Near,Direct,2,2,2,1,4
R_1EcHZSIxAECyCbs,532,40,England,Male,"Facebook,Twitter,Instagram,Whatsapp",Less than once a week,Male,Tilted,Near,Side,3,4,4,1,4
R_1EcHZSIxAECyCbs,532,40,England,Male,"Facebook,Twitter,Instagram,Whatsapp",Less than once a week,Male,Level,Near,Direct,4,2,2,2,3
R_1EcHZSIxAECyCbs,532,40,England,Male,"Facebook,Twitter,Instagram,Whatsapp",Less than once a week,Male,Level,Far,Side,4,4,4,4,2
R_1EcHZSIxAECyCbs,532,40,England,Male,"Facebook,Twitter,Instagram,Whatsapp",Less than once a week,Male,Level,Near,Side,4,3,4,2,2
R_1EcHZSIxAECyCbs,532,40,England,Male,"Facebook,Twitter,Instagram,Whatsapp",Less than once a week,Male,Level,Far,Direct,4,2,2,3,2
R_1EcHZSIxAECyCbs,532,40,England,Male,"Facebook,Twitter,Instagram,Whatsapp",Less than once a week,Male,Tilted,Far,Side,3,4,4,1,4
R_1EcHZSIxAECyCbs,532,40,England,Male,"Facebook,Twitter,Instagram,Whatsapp",Less than once a week,Male,Tilted,Far,Direct,2,2,2,1,4
R_1f9PtCbUAHZWw86,501,19,United States,Female,"Instagram,Snapchat",Several times a week,Female,Tilted,Near,Direct,4,4,4,2,4
R_1f9PtCbUAHZWw86,501,19,United States,Female,"Instagram,Snapchat",Several times a week,Female,Tilted,Near,Side,4,4,4,2,4
R_1f9PtCbUAHZWw86,501,19,United States,Female,"Instagram,Snapchat",Several times a week,Female,Level,Near,Side,4,2,2,2,2
R_1f9PtCbUAHZWw86,501,19,United States,Female,"Instagram,Snapchat",Several times a week,Female,Level,Near,Direct,4,2,2,2,3
R_1f9PtCbUAHZWw86,501,19,United States,Female,"Instagram,Snapchat",Several times a week,Female,Tilted,Far,Direct,4,2,2,4,2
R_1f9PtCbUAHZWw86,501,19,United States,Female,"Instagram,Snapchat",Several times a week,Female,Tilted,Far,Side,4,2,2,2,4
R_1f9PtCbUAHZWw86,501,19,United States,Female,"Instagram,Snapchat",Several times a week,Female,Level,Far,Direct,4,2,2,4,2
